disease_id,symptom_id,weight
1,1,3
2,2,5
3,1,3
4,3,2
5,4,5
6,5,5
7,6,2
8,7,5
9,8,5
10,9,3
11,10,5
12,6,2
13,11,5
14,12,5
15,13,5
16,14,5
17,15,3
18,1,3
19,16,5
20,17,2
21,17,2
22,18,3
23,13,5
24,19,2
25,20,3
26,21,5
27,18,3
28,22,3
29,17,2
30,6,2
31,17,2
32,23,3
33,24,5
34,25,5
35,7,5
36,26,5
37,12,5
38,23,3
39,6,2
40,27,3
40,28,3
41,29,5
41,30,5
42,4,5
42,31,5
43,27,3
43,3,2
44,27,3
44,28,3
45,3,2
45,32,5
46,33,5
46,34,5
47,17,2
47,35,5
48,3,2
48,36,5
49,17,2
49,15,3
50,6,2
50,22,3
12,31,5
12,32,5
51,26,5
51,37,5
52,3,2
52,6,2
53,27,3
53,3,2
54,38,3
54,3,2
55,27,3
55,28,3
56,28,3
56,38,3
57,38,3
58,39,3
58,3,2
59,27,3
59,17,2
60,17,2
60,40,3
61,39,3
61,3,2
62,39,3
62,3,2
63,3,2
63,40,3
64,38,3
64,3,2
2,29,5
2,38,3
65,38,3
65,17,2
66,41,5
66,42,5
67,3,2
67,20,3
68,17,2
68,43,5
69,17,2
69,44,5
70,17,2
70,45,5
71,3,2
71,17,2
72,39,3
72,46,5
73,47,5
73,48,5
74,3,2
74,6,2
75,28,3
75,49,5
76,50,5
76,51,5
77,28,3
77,39,3
78,28,3
78,52,3
1,38,3
2,12,5
3,6,2
4,53,5
5,23,3
6,54,5
7,55,5
8,1,3
9,27,3
10,56,3
11,17,2
12,19,2
13,57,5
14,2,5
15,27,3
16,1,3
17,54,5
18,15,3
19,58,5
20,24,5
21,59,3
22,23,3
23,1,3
24,56,3
25,60,5
26,17,2
27,53,5
28,61,5
29,62,5
30,63,5
31,59,3
32,64,5
33,17,2
34,65,5
35,66,5
36,57,5
37,2,5
38,19,2
39,67,5
40,68,5
41,38,3
42,69,5
43,40,3
44,4,5
45,70,3
46,52,3
47,24,5
48,71,5
49,52,3
50,56,3
51,46,5
52,72,5
53,17,2
54,52,3
55,17,2
56,39,3
57,3,2
57,17,2
58,40,3
59,73,5
60,19,2
61,17,2
62,17,2
63,18,3
64,17,2
2,17,2
65,15,3
66,74,5
67,9,3
68,75,5
69,76,5
70,35,5
71,77,5
72,78,5
73,79,5
74,19,2
75,80,5
76,81,5
77,82,5
78,83,5
1,84,5
2,7,5
3,17,2
4,18,3
5,19,2
6,85,5
7,86,5
8,87,5
9,88,5
10,17,2
11,56,3
12,67,5
13,89,5
14,90,5
15,91,5
16,92,5
17,17,2
18,22,3
19,93,5
20,61,5
21,94,5
22,95,5
23,27,3
24,3,2
25,96,5
26,84,5
27,41,5
28,9,3
29,97,5
30,98,5
31,94,5
32,99,5
33,59,3
34,27,3
35,1,3
36,47,5
37,27,3
38,4,5
39,19,2
40,100,5
41,65,5
42,3,2
43,19,2
44,50,5
45,18,3
46,101,5
47,73,5
48,102,5
49,20,3
50,103,5
12,104,5
51,56,3
52,105,5
53,35,5
54,9,3
55,73,5
56,3,2
57,52,3
58,106,3
59,40,3
60,70,3
61,40,3
62,52,3
63,107,5
64,35,5
2,15,3
65,52,3
66,108,5
67,22,3
68,109,5
69,45,5
70,24,5
71,9,3
72,110,5
73,111,5
74,112,5
75,113,5
76,114,5
77,115,5
78,116,5
1,17,2
2,117,5
3,118,5
4,19,2
5,32,5
6,23,3
7,2,5
8,119,5
9,120,5
10,71,5
11,106,3
12,56,3
13,62,5
14,121,5
16,6,2
17,122,5
18,20,3
20,9,3
22,123,5
24,9,3
26,12,5
27,23,3
28,20,3
29,56,3
30,124,5
31,6,2
32,32,5
33,61,5
34,120,5
35,125,5
37,13,5
38,126,5
39,56,3
42,15,3
43,70,3
44,127,5
45,128,5
47,129,5
49,130,5
50,94,5
12,131,5
51,103,5
53,52,3
54,6,2
55,52,3
56,17,2
57,6,2
58,19,2
59,106,3
60,132,3
61,106,3
62,40,3
63,133,5
64,15,3
2,52,3
65,20,3
66,134,5
68,135,5
69,73,5
70,9,3
71,6,2
72,79,5
73,136,5
74,103,5
77,137,5
78,138,5
1,139,5
2,121,5
42,22,3
43,18,3
45,140,5
47,104,5
49,141,5
12,48,5
53,40,3
54,19,2
55,6,2
56,52,3
57,19,2
58,70,3
59,70,3
60,130,5
61,19,2
62,106,3
63,142,5
64,52,3
2,6,2
65,9,3
68,143,5
69,56,3
70,102,5
71,19,2
72,136,5
74,144,5
77,145,5
43,132,3
47,109,5
12,146,5
53,106,3
54,102,5
